Title,Company,Reference Code,Posted Date,Closing Date,Employment Mode,Salary,Vacancy,Location,Job Description,Skills & Requirements,Graduation Year,Fields of Study,Education Level (pursuing / obtained),Required Level of Work Experience,About Company,Application Methods,Address,Email,Phone,Fax,Website,Note,Nature of Business,Job Categories
Quality Engineer,BIRGMA ASIA TRADING LIMITED,JIS00336278,2024-09-03,2024-10-02,"Full Time, Graduate",HKD ($) 16K - 18K per month,1,Hong Kong - Kowloon,"Job Purpose:
We are looking for a technically astute and energetic Quality Engineer to join us and participate in different projects, working closely with our cross-functional teams in Hong Kong and various regions. You will perform data-driven analysis of a product specifications, performance, and packaging requirements and follow up certification and testing requirements.
Key Accountabilities:
Support and develop products specification
Assist Quality team to update and maintain internal documentation 
Execute samples review according to inspection protocol
Verify components and materials specifications against BOM and product specifications down to the component level 
Communicate and follow up with colleagues in Shanghai, Shenzhen, Taiwan, Vietnam and India for routine quality issues
Other additional tasks and duties as assigned by the company case by case","University / College degree in Engineering / Manufacturing /
Material Science / Science / Mathematics & Statistics or other science subjects
1-2 years QC / QA experience, fresh graduates are welcome
Specification development experience in sourcing office or laboratory environment is an advantage
Good knowledge of product development and verification process, defect analysis and EU test requirements
Experience with product risk assessment is preferred
Good communication skills and commercial awareness
Robust personality, able to meet deadline
Knowledge in EU legislation and requirements is preferred (EU regulations and directives training will be provided)
Fluent in written and spoken English & Mandarin
Candidates with less experience will be considered as Assistant Quality Engineer ",2021 - 2024,"Electrical / Electronic / Energy Engineering, Engineering, Industrial & Manufacturing Systems Engineering, Physical Sciences, Science","Bachelor, Higher Diploma / Associate Degree",None,"Birgma Asia is a multinational group engaged in the procurement of various products in Asia for export to Scandinavian countries to our group company - Biltema. Our product lines include but not limit to car parts & accessories, bicycles, boating equipment, hand tools, household DIY and construction materials, electronic products and leisure items.  Our Asian regional procurement operations currently include several offices in Asia.",,,recruitments@birgma.com,,,,"We offer attractive remuneration package including 5-day work, 15 days annual leave, medical & dental insurance and other benefits to the right candidate. Interested candidates please send your FULL resume with current and expected salary and availability to recruitments@birgma.com.
Only short-listed candidates will be notified. All applications will be used for the purpose of recruitment only. Applicants not invited for interview within 6 weeks may consider their applications unsuccessful.",Trading / Sourcing / Merchandising,"Engineering - Electronic / Industrial / Electrical / Mechanical and others
Quality Control
Others"
Business Analyst,Ctech Group Limited,JIS00336319,2024-09-03,2024-10-01,"Full Time, Graduate",HKD ($) 30K - 50K per month,18,Hong Kong,"Assist in understanding and documenting business processes and workflows.
Help identify potential improvements to business processes.
Assist in conducting analyses to identify solutions and evaluate their potential business impact.
Support the team during design reviews to ensure that system solutions align with business objectives.
Participate in user acceptance testing (UAT) to ensure that the functionality meets the defined requirements.
Provide support and troubleshooting from business context.
Provide administrative support to team leads.","Bachelor's degree holder in any discipline.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate information.
Attentive to detail and accuracy.  
Ability to maintain confidentiality and handle sensitive information in a professional manner.
Strong interpersonal and communication skills.
High level of proficiency in MS Office.",2020 - 2024,"Accounting & Finance, Actuarial Science, Analytical & Testing Sciences, Anthropology, Animation & Digital Arts, Applied Physics, Applied Science, Applied Ageing Studies & Service Management, Artifical Intelligence: Systems & Technologies, Arts, Asian & International Studies, Big Data Technology, Bimodal Bilingual Studies, Biochemistry, Bioengineering, Bioinformatics, Biological Science, Biomedical Engineering, Biomedical Science, Biotechnology, Business Administration, Business Design & Innovation, Chemical Technology, Chemistry, China Studies, Chinese Language & Literature, Civil / Structural Engineering, Cognitive Science, Communication, Computer & Information Sciences, Computer Science & Engineering, Computing, Computing & Software Technologies, Computing Mathematics, Creative & Professional Writing, Creative Arts and Culture, Creative Media, Data & Media Communication, Data Science, Cultural Management / Studies, Data Science & Policy Studies, Decision Analytics, Design, Economics, Education, Electrical / Electronic / Energy Engineering, Engineering, Energy Management & Technology, English, Enterprise Engineering with Management, Environment & Resources Management, Environmental & Occupational Safety & Health, Environmental Engineering & Sustainable Development, European Studies, Financial Technology, Foreign Language & Literature, Gender Studies, Geography / Urban Studies, Gerontology, Global Business Studies, Global Economics & Finance, Global Studies, Government & International Studies, Graphic & Commercial Arts, Greater China Studies, Health Sciences & Technology, Home Economics, Hotel & Tourism Management, Human & Organizational Development, Human Resources & Labour Relations, Humanities, Industrial & Manufacturing Systems Engineering, Information Engineering, Information System Management, Information Systems & Analytics, Insurance, Financial & Actuarial Analysis, Integrative Systems & Design, Intelligent Building Technology & Management, International Business and Global Management, Internet & Multimedia Technology, Investment Science, Japanese Studies, Journalism, Korean Studies, Law, Management Sciences, Logistics / Supply Chain Management, Liberal Arts / General Studies, Marketing, Materials Science & Engineering, Mathematics / Statistics, Mechanical Engineering, Media & Cultural Studies, Nano Science & Technology, Natural Resources / Environmental Sciences, New Media, Parks & Recreation, Pharmacy, Physical Sciences, Politics and Public Administration, Product Analysis & Engineering Design, Protective Services, Psychology, Public Health, Public Policy & Governance, Quantitative Finance, Quantitative Finance & Risk Management Science, Quantitative Social Analysis, Radiography, Real Estate, Rehabilitation Sciences, Risk & Insurance Management, Science, Science & Web Technology, Shipping Technology & Management, Social Sciences, Sociology, Sustainability, Sustainable Structural & Fire Engineering, Systems Engineering & Engineering Management, Theatre Studies, Theology, Trade & Industry, Translation, Transportation Systems Engineering, Visual & Performing Arts
...More",Bachelor,None,"Company Website: https://ctechgroup.io/
CTech stands at the forefront of enterprise technology solutions. With robust operations in the USA, UK, Canada, Japan, Hong Kong, Singapore, and Malaysia, we've been driving the digital transformation of businesses since 2015. Our ethos is centered on harnessing the power of cutting-edge technologies to reinvent and reshape industries worldwide.
At our core, we are a technology and product-oriented company. We've built and deployed a wide range of digital solutions, touching the lives of over 100,000 satisfied clients and earning industry accolades along the way. Our expertise spans various domains, from blockchain technology to AI, data analytics, IoT, and beyond.
Our services cast a wide net across sectors, including financial services, gaming, metaverse platforms, and more. We are constantly pushing the boundaries of what's possible in the digital realm, and we're now looking for fresh graduates and ambitious young professionals to join us in this exciting journey.
The industries we impact – including supply chain, finance, insurance, healthcare, energy, retail, and transportation – are just the starting point. The potential for digital innovation is vast, and we need you to help us explore the uncharted territories.
When you join CTech, you're not just part of a team; you're at the epicenter of digital business transformation. We cultivate a dynamic, inclusive environment where every voice matters, and innovation thrives.
We champion continuous learning and offer abundant opportunities for professional growth and development. So, if you're a recent graduate or a young professional with a passion for technology and a desire to make a significant impact, we'd love to hear from you.
Join us at CTech, and let's shape the future of technology and digital business together.","Please address your application to : Jenny Tan, Human Resources",,careers@ctechgroup.io,,,https://ctechgroup.io/,"We offer:
Competitive salary and benefits package including discretionary bonus and other benefits e.g. Performance bonus, Referral bonus.
Young, Fast moving and Challenging work environment.
A dynamic and passionate team of professionals dedicated to making a difference in the world of blockchain.
Continuous learning opportunities with exposure to the latest trends and developments in the blockchain space.
Interested please send your cover letter, resume and reference letter to careers@ctechgroup.io.",Information Technology / Telecom / Technology,"Management Consultant / Business Analyst
Marketing / Market Research
IT / Programming"
English Teacher,Phonics Plus Limited,JIS00336080,2024-09-03,2024-09-30,"Full Time, Graduate",HKD ($) 19K - 25K per month,2,1 location - New Territories,"Teaching Phonics, Writing, and Grammar to children aged 3 to 8","Prior teaching experience is not necessary as intensive in-house, on-the-job training will be provided;
University degree;
Immediate availability preferred;",2021 - 2023,Any Discipline,Bachelor,None,"We, Phonic Plus, provide a lovely and friendly environment for our teachers to teach and for our students to learn our PLM Methodology.
We provide the following benefits and package to the right candidates:
Offer a very attractive package with a guaranteed salary increase (10%-30%) annually plus a high incentive.
There are also performance-related bonuses and generous benefits.
Good career perspective and training and career development 
 ","Please address your application to : Belinda Wong, Director","Rm 581, Trade Square, 681 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon, Hong Kong.",plm@phonicsland.com.hk,90944998,NA,,"Applicants need to submit below once they are confirmed with the employment offer :
1. Copy of HKID
2. Copy of all graduation Certification
3. Copy of Address Proof
4. Submit the SCRC or need to apply after confirming the offer
5. Personal information on request",Education,"Education
Teaching"
Sales Associate,Foo Hang Jewellery Limited,JIS00335872,2024-09-03,2024-10-02,"Full Time, Graduate",HKD ($) 18K - 20K per month,1,Central,"Job Responsibilities:
Build and maintain long-term relationship with customers by providing excellent customer experience
Identify customers’ needs and deliver post-sales services
Demonstrate a strong sense of selling technique and product knowledge
Achieve monthly and personal sales targets
Assist supervisors to effectively execute daily operations, stock management and administrative duties
Support product display and visual merchandising in shop
Support and participating in Hong Kong jewellery trade shows ","Requirements:
Form 5 or above with at least 2-year solid sales experience in retail chain stores of jewellery, luxury goods and fashion preferred
Positive attitude, presentable and service-oriented
Excellent in presentation, interpersonal and communication skills
Fluency in Cantonese, good command of English and Mandarin is an advantage
Immediate availability is highly preferred ",2021 - 2023,Any Discipline,Higher Diploma / Associate Degree,2 years,"Founded in 1944, Foo Hang Jewellery Limited (富衡珠寶行有限公司) was one of the first companies to import diamonds directly from Israel and South Africa. We have since been widely recognized as a premium diamond and jewellery wholesaler, retailer, manufacturer and exporter in Hong Kong",Please address your application to : Cindy Chan,"7/F, Emperor Watch & Jewellery Centre,8 Russell Street, Causeway Bay",cindychan@fhj.com.hk,29125608,25230332,,,Consumer Goods / Retail,"Sales / Account Servicing / Business Development
Others"
Graduate Trainee - System Consultant,Global Sharp International Limited,JIS00335169,2024-09-03,2024-09-17,"Full Time, Graduate",HKD ($) 25K - 27K per month,2,"HK Island, Hong Kong","MULTIABLE is the leading enterprise management system developer in Hong Kong with more than 6,000 corporate clients in Hong Kong, Singapore, China and other APAC regions. We are one of the very few IT firms in the region with commitment in cutting edge R&D instead of just being a reseller of foreign IT products.
Over 300 talented individuals, located among Hong Kong, Singapore, Guangzhou, Shenzhen and Shanghai, have joined us and now enjoy being part of a unique adventure. We are constantly reinforcing our team and would like to invite you to be one of us.
It is a core part of our people strategy to nurture and elevate the value of our human capital for achieving long term business success. Our HR policy is dedicated to excavating the young and high potential people to excel in project management and the IT industry and to grow with us.
A comprehensive development program including job rotation will be provided to the right candidates for securing their career path.
You will:
Work across several divisions (development, implementation. R&D etc.) within the trainee program
Receive in-house and external training on various IT know-how
Provide quality consultation service to enterprise customers
Conduct business analysis for various projects
Have infrequent business trip to Singapore / PRC / Taiwan / UK

**Information collected are strictly confined to recruitment purposes only.","You should have/be:
Degree holder or above
A numeric-sensitive person
Knowledge in I.T. industry preferred but not essential
Formal training in corporate accounting, human resource or operation management preferred
Strong business insight with creative thinking
Self-motivation and ability to work independently under pressure
Passionate for continuous improvement and learning
Excellent verbal and written communication skills
Good command of both Chinese and English",2021 - 2024,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor",None,"MULTIABLE is the leading enterprise management system developer in Hong Kong with more than 6,000 corporate clients in Hong Kong, Singapore, China and other APAC regions. We are one of the very few IT firms in the region with commitment in cutting edge R&D instead of just being a reseller of foreign IT products.
Over 300 talented individuals, located among Hong Kong, Singapore, Guangzhou, Shenzhen and Shanghai, have joined us and now enjoy being part of a unique adventure. We are constantly reinforcing our team and would like to invite you to be one of us.
It is a core part of our people strategy to nurture and elevate the value of our human capital for achieving long term business success. Our HR policy is dedicated to excavating the young and high potential people to excel in project management and the IT industry and to grow with us.
A comprehensive development program including job rotation will be provided to the right candidates for securing their career path.",,"1/F Dominion Centre, 43-56 Queen's Road East Wanchai, Hong Kong",hrd.hk@multiable.com,25299912,25273253,http://www.multiable.com,Application letter with resume,Information Technology / Telecom / Technology,"IT / Programming
Management Consultant / Business Analyst
Management Trainee"
Translator,Lingxpert Language Services Limited,JIS00336202,2024-09-03,2024-09-26,"Full Time, Graduate",HKD ($) 20K - 25K per month,2,Hong Kong - Hong Kong Island,"Perform English to Chinese (and vice versa) linguistic tasks including translation, editing, proofreading and quality assurance checks for HKEx compliance and other documents
Proofread and check completeness of translation work","University graduate or above with major in translation; language or business disciplines
Experiences in commercial; financial and legal translation would be an advantage
Excellent written English & Chinese
Strong sense of responsibility, self-motivated and results-oriented
Able to work under pressure and meet deadlines
Shift work (Mon-Fri: 09:30-18:30 / 12:30-21:30) and overtime work are required
5.5-day work week (Sat: 09:30-13:30)
Applicants with less experience will be considered as Junior Translator
Fresh graduates are also welcome",2021 - 2024,"Languages / Linguistics, Translation, Chinese Language & Literature, English, Communication","Bachelor, Master / Postgraduate Diploma",2 years,"About Lingxpert

LingXpert Language Services Limited is an emerging language service provider established by a team of professionals from various industries. We are here to offer you an alternative language service option to fulfill your language needs for a wide variety of subjects, including corporate, legal, financial, technical, etc.

Our Translation Team
Our translation chief has been involved in financial and legal translation, online financial news editorial andbusiness information platform for over 15 years. His expertise was acquired in various segments of business and financial information industry, including a global information service conglomerate, a Hong Kong-listed financial website and various leading financial printers.

Our Services
LingXpert offers a spectrum of communication services including translation, editing, copywriting and various written communication assignments. We use our best endeavor to engage native speakers to deliver our language services. Our knowledge and acquaintance of awide variety of subjects will ensure the quality and the style of the translation text to meet your strict requirement.

Welcome to visit :
http://www.lingxpert.com",,"Flat/Rm 06, 11/F, Officeplus@Sheung Wan, 93-105 Wing Lok Street, Sheung Wan",Recruit_LX@lingxpert.com,36932766,,http://www.lingxpert.com,Please send us with your full resume and expected salary by email.,Others,Journalist / Editor / Translation / Copy Writing / Communications
Assistant Engineer (under Building Service Scheme A Training),Telemax Environmemtal and Energy Management Limited,JIS00336274,2024-09-02,2024-10-01,"Full Time, Graduate",Negotiable,2,"Fo Tan, Shatin","Design of Building Services Engineering projects
Perform calculations and prepare drawing
Preparation of statutory submission, design reports, tender documents and technical specifications
Project coordination among Clients, Government Authorities, Consultants and Contractors
Conduct site supervision and testing & commissioning","Degree/Master/PHD in Building Services Engineering/Electrical Engineering/Mechanical Engineering/Energy Engineering or other related disciplines;
Self-motivated and able to work independently;
Good command of spoken and written English ,Chinese and Mandarin.",2023 - 2024,"Building Services Engineering, Electrical / Electronic / Energy Engineering, Sustainable Structural & Fire Engineering","Doctorate or above, Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",None,"Telemax Environmental and Energy Management Ltd. (TEEM) was established by a group of professionals specializing in building services, environmental protection, green buildings, sustainability, energy and carbon reduction. We work together to provide innovative and practical solutions to our clients. We strive to be the best through technological advancement, integrity, quality assurance and offer a multi-discipline expertise to serve our clients over the world.
http://www.telemaxeem.com/index.php",Please address your application to : HR Assistant Manager,,hr@telemaxeem.com,,,,"Please bring photo (optional), original academic qualifications / transcript / reference letters for checking if necessary.",Engineering,"Engineering - Construction / Building Services
Engineering - Electronic / Industrial / Electrical / Mechanical and others"
Assistant Engineer (under Energy Scheme A Training),Telemax Environmemtal and Energy Management Limited,JIS00336275,2024-09-02,2024-10-01,"Full Time, Graduate",Negotiable,2,"Fo Tan, Shatin","Assist project teams to implement building sustainability, sustainable design and planning, energy consulting and management project
Provide technical supports to project teams on various energy and sustainability studies, including energy audit, building energy code compliance, retro-commissioning
Conduct computation modeling such as energy, daylight, solar, CFD ventilation, thermal comfort, etc
Conduct on-site measurement
Handle technical enquires raised by clients
Prepare technical reports, presentation and other project deliverables
Handle project team coordination and project meeting attendance","Degree/Master/PHD in Building Services Engineering / Building Environmental and Energy Engineering / Energy Engineering / Environmental Engineering or other related disciplines
Knowledge with BEAM Plus / LEED / WELL / Building Energy Code / Energy Audit is preferred
Experience with sustainable design modelling software is preferred (eQuest, IES, Ecotect, Fluent, etc)
Fluency in written and spoken English and Chinese is necessary
Self-motivated and hardworking",2023 - 2024,"Building Services Engineering, Electrical / Electronic / Energy Engineering, Energy Management & Technology, Sustainability","Doctorate or above, Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",None,"Telemax Environmental and Energy Management Ltd. (TEEM) was established by a group of professionals specializing in Building Services, Environmental Protection, Green Buildings, Sustainability, Building Environmental and Energy Engineering and Carbon Reduction. We work together to provide innovative and practical solutions to our clients. We strive to be the best through technological advancement, integrity, quality assurance and offer a multi-discipline expertise to serve our clients over the world.
http://www.telemaxeem.com/index.php",Please address your application to : HR Assistant Manager,,hr@telemaxeem.com,,,,"Please bring photo (optional), original academic qualifications / transcript / reference letters for checking if necessary.",Engineering,"Engineering - Construction / Building Services
Engineering - Electronic / Industrial / Electrical / Mechanical and others
Environment / Sustainability"
Audit Junior (PART TIME - Flexible and attractive),WT & Co. Certified Public Accountants,JIS00336240,2024-09-02,2024-09-16,"Part Time, Temporary",HKD ($) 750 per day,2,Wan Chai,"Professional audit & assurance services
Bookkeeping & accounting services using Quickbooks
Taxation consultancy
Diploma or Degree holder major in accountancy of IVE and universities etc
Previous audit experience is preferable but not essential
Flexible working hour, salary negotiable and students major in accounting welcome
Available immediately","Good command of spoken and written English and Chinese, good at spoken Mandarin
Proficient in MS Word, Excel and Chinese word processing
Able to handle clients and communicate effectively
Honest, diligent, good interpersonal and communication skills
Self motivated, hard working, independent, willing to work under pressure and to meet deadline",2025 - 2027,Accounting & Finance,"Higher Diploma / Associate Degree, Bachelor",None,"WT & Co., CPA is a professional Hong Kong based audit firm.
We provide a large range of financial services to HK and overseas clients, including auditing, accounting, company secretarial and taxation. We also extend our services to liquidation and PRC company incorporation and accounting services with our PRC office in Shenzhen.",Please address your application to : Jimmy Leung,"Room 803, 8/F, Yue Xiu Building, 160-174 Lockhart Road, Wan Chai, Hong Kong",admin@wtcpa.com.hk,852 21379700,852 28824450,,,Accounting / Audit / Taxation,Accounting / Auditing / Tax
"Intern, Social Media & Community Management",艺龙国际旅行香港有限公司,JIS00335888,2024-09-02,2024-09-30,"Part Time, Internship",HKD ($) 50 - 55 per hour,1,"Champion Tower, Three Garden Road Central office Complex, 3 Garden Road, Central, HK","Responsibilities:
● Create compelling written and visual content for social media platforms such as Facebook, Instagram, Xiaohongshu, and more, to establish and maintain an engaging online presence.
● Monitor and research emerging travel trends and user-generated content to identify popular topics that can drive social media awareness and engagement.
● Assist in identifying and promoting hot topics to increase brand visibility on social media platforms.
● Support in creating compelling content for internal and external communities, aiming to build brand awareness and foster positive sentiment.
● Proactively engage with followers by responding to comments, messages, and questions in a timely and professional manner.
● Provide assistance with daily operations and promotional activities as needed.","Requirements:
● Currently pursuing an undergraduate degree in journalism, communications, marketing, or a related field preferred.
● Excellent verbal and written communication skills in Chinese.
● Strong understanding of social media platform trends in Hong Kong, including but not limited to Facebook, Instagram, Xiaohongshu, and YouTube.
● Knowledge of photo shooting/editing and video production is a plus.
● Enthusiasm to work in a fast-paced and dynamic environment.
● Passion for travel, with familiarity in Mainland China and Southeast Asia destinations considered a plus.",2025 - 2029,"Marketing, Management Sciences","Master / Postgraduate Diploma, Bachelor",None,"HopeGoo is established by Tongcheng Travel. HopeGoo is a service platform providing one-stop travel experience for inbound travelers to China, currently covering six major areas including air tickets, hotels, train tickets, tickets, ship tickets, and local entertainment.It supports 16 global payment currencies and multiple language operations. 
Leveraging the brand and resource advantages of Tongcheng Travel, HopeGoo can provide simple, considerate and cost-effective products and services for travelers.
The brand slogan of HopeGoo is ""Go With Your Hope"", aiming to provide cultural experiences and a sense of wonderful life at the destinations for global travelers, helping travelers enjoy the pleasure of every journey and gain exclusive travel memories.
Tongcheng Travel is one of the two major travel platforms in China.It was successfully listed on the Main Board of the Hong Kong Stock Exchange (stock code: 0780.HK) on November 26, 2018. 
Tongcheng Travel's business covers transportation ticket reservations (air tickets, train tickets, bus tickets, ship tickets, etc.), accommodation reservations, attraction ticket reservations, as well as tour packages, independent travel products, cruises, etc., extensively covering various travel and vacation scenarios.
www.hopegoo.com",,,jingwen2.zhang@ly.com,,,,,Hospitality / Catering / Tourism,Customer Services - Retail / Hotel / Tourism and Others
