Title,Company,Reference Code,Posted Date,Closing Date,Employment Mode,Salary,Vacancy,Location,Job Description,Skills & Requirements,Graduation Year,Fields of Study,Education Level (pursuing / obtained),Required Level of Work Experience,About Company,Application Methods,Address,Email,Phone,Fax,Website,Note,Nature of Business,Job Categories
Assistant Quantity Surveyor,Currie & Brown (China) Limited,JIS00336074,2024-08-29,2024-09-07,"Full Time, Graduate",Negotiable,5,Hong Kong - Kowloon,"The successful candidates will provide general assistance to the Quantity Surveying team in the provision of pre and post contract work to the client, and will typically work on three to four projects at any time depending upon your team and work across sectors.
Responsibilities for the successful candidates will include:
Assist senior QS for all the pre- & post-contract stages quantity surveying duties
Handle tender analysis and bidding, tender documents administration, material taking off and pricing, measurement of works, valuation of variation etc.
Prepare cost estimation, subletting, extension of time claim, certifying payment and variation, and final account settlement
Liaise with contractors/ specialist suppliers and support to administrative matters
Attend site inspections, visits, site meetings or even tender interviews when required
Develop basic Quantity Surveying skills and experience","Degree in Quantity Surveying or Construction related discipline advantageous
Enthusiasm to embark upon a career as a Quantity Surveyor
Energetic, ambitious self-starter
Proactive, self-initiated, independent and detail-minded
Good communication, interpersonal and client-facing skills
Well-developed IT skills and high levels of numeracy and literacy
Proficient in both spoken and written English and Chinese",2023 - 2024,"Accounting & Finance, Actuarial Science, Aerospace / Aviation Technician, Agriculture, Analytical & Testing Sciences, Animation & Digital Arts, Anthropology, Applied Ageing Studies & Service Management, Applied Biology, Applied Physics, Applied Science, Architecture / Landscape Architecture, Area & Ethnic Studies, Artifical Intelligence: Systems & Technologies, Arts, Asian & International Studies, Aviation Engineering, Aviation Management & Logistics, Big Data Technology, Bimodal Bilingual Studies, Biochemistry, Bioengineering, Bioinformatics, Biological Science, Biomedical Engineering, Biomedical Science, Biotechnology, Building Services Engineering, Building Surveying & Construction Management, Business Administration, Business Design & Innovation, Chemical Technology, Chemistry, China Studies, Chinese Language & Literature, Chinese Medicine, Civil / Structural Engineering, Cognitive Science, Communication, Community Health Practice, Comparative Literature, Computer & Information Sciences, Computer Science & Engineering, Computing, Computing & Software Technologies, Computing Mathematics, Counselling, Creative & Professional Writing, Creative Arts and Culture, Creative Media, Criminology, Cultural Management / Studies, Data & Media Communication, Data Science, Data Science & Policy Studies, Decision Analytics, Dentistry, Design, Earth Sciences, Economics, Education, Electrical / Electronic / Energy Engineering, Energy Management & Technology, Engineering, English, Enterprise Engineering with Management, Environment & Resources Management, Environmental & Occupational Safety & Health, Environmental Engineering & Sustainable Development, European Studies, Film, Financial Technology, Fine Arts, Food & Nutritional Science, Food Safety & Technology, Foreign Language & Literature, Gender Studies, Geography / Urban Studies, Gerontology, Global Business Studies, Global Economics & Finance, Global Studies, Government & International Studies, Graphic & Commercial Arts, Greater China Studies, Green Energy Science, Health & Social Services Management, Health Professions, Health Sciences & Technology, History, Home Economics, Hotel & Tourism Management, Human & Organizational Development, Human Resources & Labour Relations, Humanities, Industrial & Manufacturing Systems Engineering, Information Engineering, Information System Management, Information Systems & Analytics, Insurance, Financial & Actuarial Analysis, Integrative Systems & Design, Intelligent Building Technology & Management, International Business and Global Management, Internet & Multimedia Technology, Investment Science, Japanese Studies, Journalism, Korean Studies, Land Surveying & Geo-informatics, Languages / Linguistics, Law, Liberal Arts / General Studies, Logistics / Supply Chain Management, Management Sciences, Marketing, Materials Science & Engineering, Mathematics / Statistics, Mechanical Engineering, Media & Cultural Studies, Medical Sciences, Medicine, Music, Nano Science & Technology, Natural Resources / Environmental Sciences, New Media, Nursing, Occupational Therapy, Ocean Science & Technology, Optometry, Parks & Recreation, Pharmacy, Philosophy / Religion, Physical Sciences, Physiotherapy, Politics and Public Administration, Product Analysis & Engineering Design, Protective Services, Psychology, Public Health, Public Policy & Governance, Quantitative Finance, Quantitative Finance & Risk Management Science, Quantitative Social Analysis, Radiography, Real Estate, Rehabilitation Sciences, Risk & Insurance Management, Science, Science & Web Technology, Shipping Technology & Management, Social Sciences, Social Work, Sociology, Speech-Language Pathology & Learning Disabilities, Sports Science, Sustainability, Sustainable Structural & Fire Engineering, Systems Engineering & Engineering Management, Textile & Clothing, Theatre Studies, Theology, Trade & Industry, Translation, Transportation Systems Engineering, Veterinary Medicine, Visual & Performing Arts, Others
...More","Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",None,"Currie & Brown is one of the world’s leading physical assets management and construction consultancies, dedicated to advising clients in respect of the management and utilisation of their physical assets, and is differentiated by innovation, expertise and experience.
With principal offices in Dubai, Hong Kong, London, Mumbai, New York and Shanghai, we operate throughout the Americas, Asia Pacific, Europe, India and the Middle East.",,"Unit 902, 9/F, Manulife Place, 348 Kwun Tong Road, Kowloon, Hong Kong.",recruitment.hk@curriebrown.com,2833 1939,2833 1931,http://www.curriebrown.com,,Others,"Engineering - Construction / Building Services
Surveying"
Digital Marketing / Graphic Designer intern,Xinics Company Limited,JIS00336099,2024-08-29,2024-09-26,"Full Time, Internship",Negotiable,2,Hong Kong - New Territories,"Create visually appealing and engaging designs for digital marketing materials
Management online Ads and promotions
Social Media Management
Creative Strategy and Ideation
Web Design and Development, collaborate with web developers to create visually appealing and user-friendly website layouts and designs.
Design other graphics elements such as leaflet, promotion and video footage","Experience in graphic design, web design, digital marketing 
Experienced in design software such as Adobe Creative Suite (Photoshop, Illustrator, XD, Fusion) and other relevant design tools.
Understanding of design principles, typography, UI/UX and Web Accessibility best practices.
Basic knowledge of digital marketing platforms and channels, such as AdWords, Google Analytics, social media, email marketing and SEO skills.
Good Writing in English and Chinese
Experience with web design and development, HTML, CSS, and responsive design is a plus.",2024 - 2026,"Creative Media, Computing & Software Technologies, Computer Science & Engineering, Computer & Information Sciences","Master / Postgraduate Diploma, Bachelor",None,"Xinics has been developing an innovative electric vehicle (EV) charger platform since 2019 at the Hong Kong Science Park. Our expertise in EV charging infrastructure has allowed us to create a robust and scalable solution to support the growing adoption of electric vehicles in the region.
Meanwhile, we are also developing an innovative ride-hailing platform to serve the transportation needs of people in the area. This platform leverages the latest technologies to provide a seamless and efficient mobility solution for our customers.
In addition to our work in EV charging and ride-hailing, Xinics has also obtained several prestigious awards for our innovative hailing platform. We are particularly proud of our development of a smart cap for virus protection, which has the potential to make a significant impact in safeguarding public health.
As we continue to drive innovation and make a positive impact in our community, we are now looking to expand our team. We are seeking high-caliber employees who share our passion for technology, sustainability, and customer-centric solutions. If you're interested in joining our dynamic and ambitious team, we encourage you to explore the available opportunities at Xinics.","Please address your application to : Ivan Hui, Founder","unit 39, 3/F., 2W, Science Park, Pak Shek Kok",enquiry@xinics.com.hk,,,http://www.xinics.com.hk,"At Xinics, we believe that a happy and flexible work environment is essential for fostering innovation, creativity, and employee well-being. As a rapidly growing technology company, we are committed to creating a collaborative and supportive culture that empowers our team to thrive. Interesting party can send your resume to enquiry@xinics.com.hk",Information Technology / Telecom / Technology,IT / Programming
Business Development & Marketing Intern,Acclime Corporate Services Limited,JIS00336137,2024-08-28,2024-09-22,"Full Time, Internship",Negotiable,1,Hong Kong Island,"Assist with daily administrative and marketing duties. 
Research market insights and suggest ideas for marketing initiatives. 
Create and update marketing documents and presentations.
Support the team with the planning and hosting of events.
Contribute to the creation of email campaigns, social media content as well as event teasers.
Perform data entry and maintain our CRM database up to date.","Qualification/Degree in Marketing, Communications or related field.
English is a must, Chinese and/or German a plus.
Proficiency in MS Office applications (especially PowerPoint).
Knowledge in Photoshop/Illustrator is a plus.
Excellent written and oral communication skill.
Organized, thorough, analytical, solution-driven.
Excellent communication and interpersonal skills.
Resourceful, independent, dedicated, outgoing and presentable.
Enjoys working in a fast-paced environment.",2021 - 2026,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor",None,"Acclime is a regional expert provider of corporate services, helping corporates and private clients navigate difficult markets in Asia. Our comprehensive range of services includes company formation, accounting and tax, company secretarial, payroll, trade, ERP and immigration services. With a strong presence in Hong Kong, we are dedicated to supporting businesses and individuals in advancing their interests in the region. ",,"Unit B, 17/F, United Centre 95 Queensway, Admiralty, Hong Kong",dave.tang@acclime.com,2258 6633,,,"What we offer: 
6 months marketing internship in HK
Career growth opportunities
Flexible working hours
Regular team-building and CSR activities
Birthday leave 
Greater China exposure",Others,Marketing / Market Research
Sales Manager,"Dorsett Kai Tak, Hong Kong",JIS00336105,2024-08-28,2024-09-26,"Full Time, Graduate",HKD ($) 25K per month,2,Kai Tak,"- Plan and execute sales activities in order to maximize market share and sales revenue
- Ensure sales targets and budget are achieved
- Develop and explore business potentials from all segments
- Any other ad hoc duties as assigned","- Bachelor degree in hospitality/marketing/business management/related discipline
- 2 years experience in sales management
-  Conversant in both written and spoken English and Chiense (including Cantonese and Putonghua)
- Excellent interpersonal, communication and negotiation skills
- Able to work under pressure and meet tight deadlines",2021 - 2023,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",2 years,"The new 373-room Dorsett Hotel flagship is inspired by the location’s dreamy Marina lifestyle and the ocean. Catering to both leisure and longer-staying business travellers alike, our suites offer pantry and light cooking facilities, and interconnecting options. Dorsett Kai Tak features two Presidential Suites, each with its own private terrace and the Presidential Harbour View Pool Suite housing its own 10m lap pool. Other hotel facilities include an outdoor rooftop bar and pool, 100 square metre fitness centre, and double-height ceiling grand ballroom.
For the guest arriving from the cruise terminal, the Hotel will offer a smooth transition to an atmosphere that echoes the magical time at sea; for the staycation patron, the Hotel will give the opportunity to dream of a Marina lifestyle without leaving Hong Kong.",,"43 Kai Shing Road, Kai Tak, Kowloon",humanresources.kaitak@dorsetthotels.com,54892317,,,,Hospitality / Catering / Tourism,"Sales / Account Servicing / Business Development
Marketing / Market Research
Management Consultant / Business Analyst"
Sales Coordinator,"Dorsett Kai Tak, Hong Kong",JIS00336104,2024-08-28,2024-09-26,"Full Time, Graduate",HKD ($) 18K per month,2,Kai Tak,"- Carry out sales and marketing activites in order to maximize hotel sales and revenue
- Build and maintain long-term relationship with customer and business partners
- Prepare regular reports for management review","- Higher diploma or above in hospitality/marketing/management
- 1 year expereince from hotel sales/front office preferred
- Excellent interpersonal skills and target-oriented
- Proficiency in oral and written English and Chinese (Cantonese and Putonghua)
- Candidate with more experience will be considered as Assistant Sales Manager",2021 - 2024,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",1 year,"The new 373-room Dorsett Hotel flagship is inspired by the location’s dreamy Marina lifestyle and the ocean. Catering to both leisure and longer-staying business travellers alike, our suites offer pantry and light cooking facilities, and interconnecting options. Dorsett Kai Tak features two Presidential Suites, each with its own private terrace and the Presidential Harbour View Pool Suite housing its own 10m lap pool. Other hotel facilities include an outdoor rooftop bar and pool, 100 square metre fitness centre, and double-height ceiling grand ballroom.
For the guest arriving from the cruise terminal, the Hotel will offer a smooth transition to an atmosphere that echoes the magical time at sea; for the staycation patron, the Hotel will give the opportunity to dream of a Marina lifestyle without leaving Hong Kong.",,"43 Kai Shing Road, Kai Tak, Kowloon",humanresources.kaitak@dorsetthotels.com,54892317,,,Interested parties please send your full cv with present and expected salary to humanresources.kaitak@dorsetthotels.com,Hospitality / Catering / Tourism,"Sales / Account Servicing / Business Development
Marketing / Market Research"
Parttime Courier,Morning Express & Logistics Limited,JIS00336102,2024-08-28,2024-09-26,"Part Time, Temporary",HKD ($) 500 per day,3,Cheung Sha Wan,"Small parcels and packages delivery
Flexible working days
Working hours: 8:30am-6:30pm","Form 6 or above
Good communication skills in both English and Chinese, knowledge in Mandarin will be an advantage
Immediate available is highly preferred",2019 - 2024,Any Discipline,Higher Diploma / Associate Degree,None,"Morning Express was established in 1987 and has developed into a leading domestic express delivery and logistics company in Hong Kong. Our delivery network covers all geographic accessible regions in Hong Kong. We provide the most reliable service that, ever since founding, Morning Express is the first and only company that promise “100% Time Guaranteed Policy” on domestic express service, where any delayed delivery will be completed without any charges.",,"1/F, Yee Kuk Industrial Centre, 555 Yee Kuk Street, Cheung Sha Wan, Kowloon, Hong Kong",recruit@mechk.com,,,http://www.mechk.com/,,Logistics / Supply Chain / Distribution,Logistics / Supply Chain
Business Development Manager 業務發展經理,iHashing Technology Company Limited,JIS00336136,2024-08-28,2024-09-26,"Full Time, Graduate",Negotiable,2,Hong Kong - Kowloon,"我們專注於提供創新的中小企區塊鏈教育和WEB3 解決方案。我們正在尋找一名有熱情、具有豐富商務發展經驗的商務發展專員加入我們的團隊。
職責：
通過業務拓展、市場分析和競爭情報收集，為公司發展新的商業機會
與客戶建立長期關係，並協助客戶解決技術和商務上的問題
與技術團隊合作，為客戶提供專業的解決方案建議
與銷售團隊協作，提供技術支援和協助談判價格
參與商務拓展和市場推廣活動，為公司品牌建立知名度","要求：
具有至少2年的商務發展經驗，特別是在科技領域
熟悉 WEB3 和區塊鏈技術及其在不同行業的應用
具有良好的溝通和表達能力，能夠有效地與客戶交流
具備良好嘅業務拓展能力同市場分析能力
有良好的團隊合作精神，能夠與其他部門協作
公司提供openai chatgpt, dalle, 等AI工具進階培訓",2021 - 2024,Any Discipline,Higher Diploma / Associate Degree,2 years,"// Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development. //

We are committed to Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development.
iHashing specializes in the development and application of Artificial intelligence, Blockchain dApp, Web3 Solutions, Digital Marketing & Extended Reality XR.
Our services currently include: VTC NITTP registered and TQUK endorsed futureskills courses, web3 solutions, blockchain infrastructural services, dApp development, smart contract Audit, software technology consultation and digital marketing.
Without PRIVACY & SECURITY, there is no freedom! We take user Privacy very, very seriously. With any product or service developed, privacy is always kept in mind. And Security is what allows people to use a product or service without the fear of their information being compromised. A product or service without security is virtually useless to everyone.
We are founded in 2017 and supported by Cyberport HK. Our clients across Asia extend to Hong Kong, Singapore, Malaysia, Vietnam, Thailand, Taiwan, and Australia.

—
Tagline/Footer:
Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development.
NameCard: https://bit.ly/m/ihashing
Web: https://ihashing.hk
Blog: http://medium.com/ihashing
FB|IG|YT|IN: @‌ihashing.hk
--
#web3 #blockchain #nodes #dapp #nft #dao
#signumNetwork #signa #SIGDAO
#vtc #nittp #tvp #TQUK #cyberport","Please address your application to : Kandy Tong, People and Support Lead","Office1301, 13/F, One Portside, 29 Tai Yau Street, San Po Kong, KLN, Hong Kong",hr@ihashing.hk,98020104,,https://bit.ly/m/ihashing,,Information Technology / Telecom / Technology,Sales / Account Servicing / Business Development
(Assistant) Graduate Engineer - Installation/ Test & Commissioning / Design,ALSTOM Hong Kong Ltd,JIS00336166,2024-08-28,2024-09-26,"Full Time, Graduate",Negotiable,5,Tsuen Wan,"We are looking for various positions including (Assistant) Graduate Engineer - Installation/ Test & Commissioning / Design based in Hong Kong to join our dynamic team. We deliver multiple signaling projects to our customer MTR with dedication to sustainable and smart mobility in the field of design, engineering, installation and test & commissioning. If you are keen to develop your career in global organization, this opportunity is ahead of you. We offer an international mobility opportunity for experienced talents.
  What you’ll be doing?
Follow up programs and projects with MTR and internal stakeholders
Coordinate and liaise with the sub-contractors and the clients
Take part to the execution of application drawing design activities of signaling projects
Responsible for preparing method statement, site inspection, site supervision of installation
Prepare and execute test and commissioning activities for railways
Make sure the EHS requirements and special processes are clearly included in the WMS","Who are we looking for?
Degree holder or above, preferably in Electrical Engineering/ Electronic Engineering/ Transportation/ Mechanical Engineering/ Embedded Systems Engineering disciplines
Previous Internship or less than 1 year of working experience
Available to work at night (Night shift allowance is provided) and occasionally during weekend
Good understanding and interpretation of mechanical plans
Good understanding and interpretation of electrical drawings
Quality-focus, rigorous, team-player
Decision-making and problem-solving ability
Good command in written and spoken English and Chinese
Why you should consider this opportunity:
If you are looking for a company with a strong purpose and the ambition to play a role in climate change by leading the way to greener and smarter mobility, if you are ambitious and would like to embark on a challenging, global journey, and if you have a certain sense of entrepreneurship: come and leave your mark on the world, with us!
We offer an attractive remuneration package with fringe benefits to the right candidates, such as
5-day work week
Double-pay
Medical insurance
Dental insurance
Life insurance
Night shift allowance
Flexible working hours
Hybrid model
15 days of Annual leave
Marriage leave",2021 - 2024,"Electrical / Electronic / Energy Engineering, Mechanical Engineering, Engineering","Bachelor, Master / Postgraduate Diploma, Doctorate or above",None,"Alstom is the leading company in the mobility sector, solving the most interesting challenges for tomorrow’s mobility. That’s why we value inquisitive and innovative people who are passionate about working together to reinvent mobility, making it smarter and more sustainable. Day after day, we are building an agile, inclusive and responsible culture, where a diverse group of people are offered opportunities to learn, grow and advance in their careers, with options across functions and geographic locations. Are you ready to join a truly international community of great people on a challenging journey with a tangible impact and purpose?  
Leading societies to a low carbon future, Alstom develops and markets mobility solutions that provide the sustainable foundations for the future of transportation. Our product portfolio ranges from high-speed trains, metros, monorails, trams to turnkey systems, services, infrastructure, signalling and digital mobility. Joining us means joining a caring, responsible and innovative company where more than 70,000 people lead the way to greener and smarter mobility, worldwide.",,"Unit 1011-12 New Kowloon Plaza, 38 Tai Kok Tsui Road, Kowloon, Hong Kong",hkrecruit.hk.transport@alstomgroup.com,27246300,,https://www.alstom.com/,,Engineering,"Engineering - Electronic / Industrial / Electrical / Mechanical and others
Engineering - Construction / Building Services
Environment / Sustainability"
行政助理,iHashing Technology Company Limited,JIS00336158,2024-08-28,2024-09-26,"Full Time, Graduate",Negotiable,1,Hong Kong - Kowloon,"職責：
支援管理團隊進行日常行政工作，包括文件管理、會議記錄和簽署文件等工作。
處理郵件、收發電話和聯繫客戶等一般行政工作。
維護辦公室管理，包括訂購辦公用品和管理供應商關係等。
確保所有的文件和數據庫都得到及時和準確的更新。
處理其他行政工作和特別項目，如需要。","要求：
至少1年的行政助理工作經驗。
具有優秀的組織能力和時間管理能力。
良好的溝通和人際交往能力。
熟練掌握Microsoft Office套件和其他辦公室軟件。
具有自我激勵和積極的工作態度。
公司提供openai chatgpt, dalle, 等AI工具進階培訓",2021 - 2025,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",1 year,"// Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development. //

We are committed to Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development.
iHashing specializes in the development and application of Artificial intelligence, Blockchain dApp, Web3 Solutions, Digital Marketing & Extended Reality XR.
Our services currently include: VTC NITTP registered and TQUK endorsed futureskills courses, web3 solutions, blockchain infrastructural services, dApp development, smart contract Audit, software technology consultation and digital marketing.
Without PRIVACY & SECURITY, there is no freedom! We take user Privacy very, very seriously. With any product or service developed, privacy is always kept in mind. And Security is what allows people to use a product or service without the fear of their information being compromised. A product or service without security is virtually useless to everyone.
We are founded in 2017 and supported by Cyberport HK. Our clients across Asia extend to Hong Kong, Singapore, Malaysia, Vietnam, Thailand, Taiwan, and Australia.

—
Tagline/Footer:
Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development.
NameCard: https://bit.ly/m/ihashing
Web: https://ihashing.hk
Blog: http://medium.com/ihashing
FB|IG|YT|IN: @‌ihashing.hk
--
#web3 #blockchain #nodes #dapp #nft #dao
#signumNetwork #signa #SIGDAO
#vtc #nittp #tvp #TQUK #cyberport",,"Office1301, 13/F, One Portside, 29 Tai Yau Street, San Po Kong, KLN, Hong Kong",hr@ihashing.hk,98020104,,https://bit.ly/m/ihashing,,Information Technology / Telecom / Technology,"Library Officer / Library Assistant
IT / Programming
Human Resources / Training / Recruitment"
WEBAPP Designer,iHashing Technology Company Limited,JIS00336155,2024-08-28,2024-09-26,"Full Time, Graduate",Negotiable,2,Hong Kong - Kowloon,"Responsibilities:
Collaborate with our development team to understand user needs and create designs that meet those needs
Create wireframes and prototypes to help guide the development process
Develop visual designs that are both attractive and intuitive
Work with stakeholders to gather feedback and refine designs
Stay up-to-date with design trends and technologies","Requirements:
Strong portfolio showcasing web app design skills
Proficiency in design tools such as Adobe Creative Suite, Bubble.io, Sketch, or Figma, Canva.
Understanding of user-centered design principles
Excellent communication and collaboration skills
Ability to manage multiple projects and meet deadlines
Fluency in English, Cantonese, Mandarin
Company provides advanced training on AI tools such as openai chatgpt, dalle, etc.",2021 - 2025,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",1 year,"// Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development. //

We are committed to Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development.
iHashing specializes in the development and application of Artificial intelligence, Blockchain dApp, Web3 Solutions, Digital Marketing & Extended Reality XR.
Our services currently include: VTC NITTP registered and TQUK endorsed futureskills courses, web3 solutions, blockchain infrastructural services, dApp development, smart contract Audit, software technology consultation and digital marketing.
Without PRIVACY & SECURITY, there is no freedom! We take user Privacy very, very seriously. With any product or service developed, privacy is always kept in mind. And Security is what allows people to use a product or service without the fear of their information being compromised. A product or service without security is virtually useless to everyone.
We are founded in 2017 and supported by Cyberport HK. Our clients across Asia extend to Hong Kong, Singapore, Malaysia, Vietnam, Thailand, Taiwan, and Australia.

—
Tagline/Footer:
Empower SME with Blockchain Academy, Green Web3 Solutions & dAPP Development.
NameCard: https://bit.ly/m/ihashing
Web: https://ihashing.hk
Blog: http://medium.com/ihashing
FB|IG|YT|IN: @‌ihashing.hk
--
#web3 #blockchain #nodes #dapp #nft #dao
#signumNetwork #signa #SIGDAO
#vtc #nittp #tvp #TQUK #cyberport",,"Office1301, 13/F, One Portside, 29 Tai Yau Street, San Po Kong, KLN, Hong Kong",hr@ihashing.hk,98020104,,https://bit.ly/m/ihashing,,Information Technology / Telecom / Technology,Creative / Design / Artist
